Date : 2023-10-09 18:06:29
Directory : ./..\..\..\38.shunYuHongWai\sunny-iot-frontend
Total : 197 files,  26008 codes, 2197 comments, 3264 blanks, all 31469 lines, 7.79% comment rate

Languages
+------------------------+------------+------------+------------+------------+------------+--------------+
| language               | files      | code       | comment    | blank      | total      | comment rate |
+------------------------+------------+------------+------------+------------+------------+--------------+
| Vue                    |         67 |     14,899 |      1,040 |      1,246 |     17,185 |        6.52% |
| JavaScript             |         71 |      6,674 |      1,043 |      1,237 |      8,954 |       13.52% |
| CSS                    |         10 |      3,429 |         44 |        621 |      4,094 |        1.27% |
| SCSS                   |          8 |        533 |         48 |        122 |        703 |        8.26% |
| XML                    |         33 |        302 |          1 |          0 |        303 |        0.33% |
| JSON                   |          2 |         90 |          5 |          1 |         96 |        5.26% |
| Markdown               |          2 |         50 |          0 |         25 |         75 |        0.00% |
| HTML                   |          1 |         20 |          3 |          5 |         28 |       13.04% |
| YAML                   |          2 |         10 |         13 |          6 |         29 |       56.52% |
| GEN80 Output Colorizer |          1 |          1 |          0 |          1 |          2 |        0.00% |
+------------------------+------------+------------+------------+------------+------------+--------------+

Directories
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                                                     | files      | code       | comment    | blank      | total      | comment rate |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                                        |        197 |     26,008 |      2,197 |      3,264 |     31,469 |        7.79% |
| src                                                                      |        149 |     19,272 |      1,953 |      2,017 |     23,242 |        9.20% |
| src\views                                                                |         28 |      9,996 |        612 |        911 |     11,519 |        5.77% |
| static                                                                   |         22 |      5,777 |        168 |      1,140 |      7,085 |        2.83% |
| src\components                                                           |         28 |      4,284 |        429 |        253 |      4,966 |        9.10% |
| src\views\DeviceManagement                                               |         11 |      3,931 |        322 |        373 |      4,626 |        7.57% |
| static\css                                                               |          5 |      3,418 |         42 |        621 |      4,081 |        1.21% |
| src\views\DeviceManagement\components                                    |         10 |      3,369 |        283 |        316 |      3,968 |        7.75% |
| src\views\WorkbenchModule                                                |          5 |      2,227 |         96 |        214 |      2,537 |        4.13% |
| src\components\common                                                    |         11 |      2,071 |        171 |        119 |      2,361 |        7.63% |
| static\js                                                                |          5 |      1,885 |         99 |        428 |      2,412 |        4.99% |
| src\api                                                                  |          5 |      1,539 |        392 |        274 |      2,205 |       20.30% |
| src\layout                                                               |         16 |      1,022 |         57 |         96 |      1,175 |        5.28% |
| src\utils                                                                |         15 |        969 |        230 |        230 |      1,429 |       19.18% |
| src\components\show-ui                                                   |          5 |        903 |         69 |         62 |      1,034 |        7.10% |
| src\layout\basicLayout                                                   |         12 |        798 |         38 |         66 |        902 |        4.55% |
| src\views\EnterpriseManagement                                           |          2 |        732 |         84 |         69 |        885 |       10.29% |
| src\layout\basicLayout\components                                        |         10 |        666 |         31 |         53 |        750 |        4.45% |
| src\views\RoleManagement                                                 |          1 |        638 |         20 |         45 |        703 |        3.04% |
| src\views\UserManagement                                                 |          1 |        609 |         36 |         55 |        700 |        5.58% |
| src\styles                                                               |          9 |        540 |         50 |        122 |        712 |        8.47% |
| src\components\echarts                                                   |          5 |        492 |         79 |         39 |        610 |       13.84% |
| src\views\DeviceTypeManagement                                           |          2 |        465 |         13 |         41 |        519 |        2.72% |
| src\views\EnterpriseManagement\components                                |          1 |        428 |         22 |         41 |        491 |        4.89% |
| src\layout\basicLayout\components\Sidebar                                |          6 |        422 |         13 |         24 |        459 |        2.99% |
| src\views\SmsUserManagement                                              |          1 |        410 |          7 |         32 |        449 |        1.68% |
| src\components\common\user                                               |          1 |        360 |          8 |         33 |        401 |        2.17% |
| src\components\tinymce                                                   |          2 |        353 |         22 |          4 |        379 |        5.87% |
| src\views\login                                                          |          1 |        324 |         26 |         33 |        383 |        7.43% |
| src\components\upload                                                    |          2 |        297 |         85 |         13 |        395 |       22.25% |
| src\store                                                                |          6 |        279 |         16 |         39 |        334 |        5.42% |
| src\components\common\search                                             |          2 |        275 |         14 |         21 |        310 |        4.84% |
| src\store\modules                                                        |          4 |        252 |         12 |         33 |        297 |        4.55% |
| src\views\DeviceTypeManagement\components                                |          1 |        248 |          6 |         22 |        276 |        2.36% |
| static\tinymce                                                           |          9 |        246 |          6 |          8 |        260 |        2.38% |
| src\router                                                               |          1 |        235 |         93 |         22 |        350 |       28.35% |
| src\views\WorkbenchModule\components                                     |          1 |        232 |          0 |         15 |        247 |        0.00% |
| src\views\OperationLogManagement                                         |          1 |        228 |          5 |         19 |        252 |        2.15% |
| static\froala_editor                                                     |          3 |        228 |         21 |         83 |        332 |        8.43% |
| mock                                                                     |          5 |        225 |         21 |         35 |        281 |        8.54% |
| src\layout\emptyLayout                                                   |          4 |        224 |         19 |         30 |        273 |        7.82% |
| tests\unit                                                               |          8 |        215 |         14 |         18 |        247 |        6.11% |
| tests                                                                    |          8 |        215 |         14 |         18 |        247 |        6.11% |
| static\tinymce\skins\lightgray                                           |          6 |        198 |          0 |          0 |        198 |        0.00% |
| static\tinymce\skins                                                     |          6 |        198 |          0 |          0 |        198 |        0.00% |
| static\tinymce\skins\lightgray\fonts                                     |          2 |        194 |          0 |          0 |        194 |        0.00% |
| src\layout\emptyLayout\components                                        |          3 |        181 |         19 |         23 |        223 |        9.50% |
| src\components\show-ui\securityCode                                      |          2 |        180 |         15 |          4 |        199 |        7.69% |
| src\views\SmsSendRecordManagement                                        |          1 |        172 |          3 |         20 |        195 |        1.71% |
| src\styles\show-ui                                                       |          1 |        146 |         19 |         36 |        201 |       11.52% |
| tests\unit\components                                                    |          3 |        120 |         14 |          7 |        141 |       10.45% |
| src\filter                                                               |          2 |        101 |         20 |         22 |        143 |       16.53% |
| tests\unit\utils                                                         |          4 |         90 |          0 |         10 |        100 |        0.00% |
| src\components\Breadcrumb                                                |          1 |         70 |          2 |          7 |         79 |        2.78% |
| src\assets\images\login                                                  |          1 |         68 |          1 |          0 |         69 |        1.45% |
| src\assets\images                                                        |          1 |         68 |          1 |          0 |         69 |        1.45% |
| src\assets                                                               |          1 |         68 |          1 |          0 |         69 |        1.45% |
